name,lat,lng
Мажалис,42.1256569,47.83419776
Яьмалаша,42.12253988,47.80910913
Санчи,42.13407166,47.81681472
Баршамяъи,42.10771509,47.84875192
Газе,42.09204729,47.81837944
Чьибаьри,42.06903395,47.82259595
Ҡьвяртели,42.08821031,47.8565535
Ғярацьан,42.09256629,47.87199765
Ччинаби,42.07194162,47.8602018
Ҡьулега,42.07144595,47.88463212
Хядяға,42.08059003,47.89719147
Машатти,42.05388455,47.88168102
Чьибяьни,42.06167867,47.910903
Жавғать,42.05476755,47.94193536
Риҡьо,42.04646028,47.9200559
Ҡонгей,42.09501924,47.80411943
Мижиғли,42.07044512,47.79973843
Жигай,42.06156978,47.7932396
Шилаьи,42.04870611,47.78912134
Ҡьулижа,42.05448063,47.77425226
Ттурей,42.0354128,47.76506912
Ғулди,42.07224648,47.68772369
Сурье,42.07731403,47.71823806
Дяҡниса,42.08824483,47.72638731
Жирбачьи,42.09187958,47.73641891
Биркли,42.08638115,47.76380567
Леҳа,42.07307123,47.73956182
Явдашҡа,42.02914521,47.70256729
Мирсиьа,42.02111553,47.69763563
Уршиьа,42.01558442,47.70219272
Сулупан,42.01446272,47.72250349
Адаға,42.00856254,47.71135238
Мисриғи,42.00966623,47.69565342
Тьама,42.01303178,47.67124201
Цциберччи,42.00204135,47.66674274
Ьинаҡи,41.98875845,47.66474557
Бяжуле,42.04041545,47.80797002
Ьялинта,42.00047827,47.81927319
Янта,42.01814571,47.86346456
Пиляҡи,42.00545233,47.85525265
Ғирчьиччи,42.00138282,47.84044068
Шураға,41.99251946,47.83915029
Ирҳлеье,41.99407709,47.82821353
Варситьа,41.99280948,47.82191482
Еҡьлуға,41.98343856,47.8284112
Ҡерҡай,41.97016176,47.81303397
Тураға,41.96142179,47.80130193
Чидажа,41.96974735,47.79738632
Шиланша,41.97505731,47.78669203
Барша,41.98487324,47.78971936
Ургаьа,41.98373548,47.76720298
Бяртаьа,41.99245639,47.76693841
Гурмиша,42.02385738,47.77611435
Ччяьри,42.00702128,47.62307313
Санаҡари,42.01223232,47.63769446
Шяръи,41.95703708,47.60871727
